Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
1990,1,3331947.0,,4.4,1596921.0,,4.19,127.4,State,4798100,0.6944305037410642,0.33282361768199914,3.4536891679748827,3.2888540031397175
1990,2,3374314.0,,4.39,1639408.0,,4.23,128.0,State,4798100,0.7032604572643338,0.34167858110502075,3.4296874999999996,3.3046875000000004
1990,3,3177695.0,,4.42,1569364.0,,4.35,128.7,State,4798100,0.6622819449365374,0.327080302619787,3.4343434343434343,3.37995337995338
1990,4,2566890.0,,4.31,1398732.0,,4.22,128.9,State,4798100,0.5349805131197766,0.29151789249911425,3.343677269200931,3.2738557020946466
1990,5,2121638.0,,4.31,1324505.0,,4.06,129.2,State,4798100,0.4421829474166858,0.27604781059169253,3.3359133126934983,3.1424148606811144
1990,6,1892914.0,,4.22,1336254.0,,4.03,129.9,State,4798100,0.39451324482607697,0.2784964881932432,3.2486528098537333,3.1023864511162436
1990,7,1771366.0,,4.3,1366966.0,,4.06,130.4,State,4798100,0.36918071736729124,0.2848973552031012,3.2975460122699385,3.113496932515337
1990,8,1676426.0,,4.24,1437941.0,,4.02,131.6,State,4798100,0.3493937183468456,0.2996896688272441,3.221884498480244,3.0547112462006076
1990,9,1611875.0,,4.32,1460154.0,,4.0,132.7,State,4798100,0.335940268022759,0.30431920968716786,3.2554634513941227,3.0143180105501135
1990,10,1824942.0,,4.56,1434002.0,,4.13,133.5,State,4798100,0.3803468039432275,0.2988687188678852,3.415730337078651,3.0936329588014977
1990,11,2246841.0,,4.52,1457368.0,,4.16,133.8,State,4798100,0.46827723473875077,0.30373856318125925,3.3781763826606874,3.109118086696562
1990,12,3211996.0,,4.58,1661363.0,,4.24,133.8,State,4798100,0.669430816364811,0.34625435068047766,3.423019431988042,3.1689088191330343
1991,1,3921031.0,,4.44,1845977.0,,4.28,134.6,State,5000371,0.7841480162171967,0.36916800773382613,3.2986627043090646,3.179791976225855
1991,2,3647563.0,,4.18,1675757.0,,4.24,134.8,State,5000371,0.7294584741812158,0.33512653361120603,3.1008902077151332,3.1454005934718103
