Year,Month,anom,i_nino,i_nina,el_nino,la_nina
1960,1,0.02,0,0,0,0
1960,2,-0.24,0,0,0,0
1960,3,-0.08,0,0,0,0
1960,4,0.01,0,0,0,0
1960,5,0.05,0,0,0,0
1960,6,-0.2,0,0,0,0
1960,7,-0.25,0,0,0,0
1960,8,0,0,0,0,0
1960,9,0.03,0,0,0,0
1960,10,-0.07,0,0,0,0
1960,11,-0.38,0,0,0,0
1960,12,0.02,0,0,0,0
1961,1,-0.15,0,0,0,0
1961,2,0.04,0,0,0,0
1961,3,-0.1,0,0,0,0
1961,4,0.13,0,0,0,0
1961,5,-0.01,0,0,0,0
1961,6,0.1,0,0,0,0
1961,7,-0.32,0,0,0,0
1961,8,-0.25,0,0,0,0
1961,9,-0.52,0,1,0,0
1961,10,-0.71,0,1,0,0
1961,11,-0.19,0,0,0,0
1961,12,-0.29,0,0,0,0
1962,1,-0.25,0,0,0,0
1962,2,-0.16,0,0,0,0
1962,3,-0.41,0,1,0,0
1962,4,-0.32,0,0,0,0
1962,5,-0.42,0,1,0,0
1962,6,-0.22,0,0,0,0
1962,7,-0.3,0,0,0,0
1962,8,-0.13,0,0,0,0
1962,9,-0.56,0,1,0,0
1962,10,-0.33,0,0,0,0
1962,11,-0.43,0,1,0,0
1962,12,-0.49,0,1,0,0
1963,1,-0.32,0,0,0,0
1963,2,-0.26,0,0,0,0
1963,3,-0.06,0,0,0,0
1963,4,-0.06,0,0,0,0
1963,5,0,0,0,0,0
1963,6,0.12,0,0,0,0
1963,7,0.72,1,0,1,0
1963,8,0.9,1,0,1,0
1963,9,0.65,1,0,1,0
1963,10,0.84,1,0,1,0
1963,11,0.75,1,0,1,0
1963,12,1.05,1,0,1,0
1964,1,0.76,1,0,1,0
1964,2,0.55,1,0,1,0
1964,3,-0.16,0,0,0,0
1964,4,-0.53,0,1,0,1
1964,5,-0.74,0,1,0,1
1964,6,-0.88,0,1,0,1
1964,7,-0.65,0,1,0,1
1964,8,-0.76,0,1,0,1
1964,9,-0.93,0,1,0,1
1964,10,-1,0,1,0,1
1964,11,-1.1,0,1,0,1
1964,12,-1.07,0,1,0,1
1965,1,-0.57,0,1,0,1
1965,2,-0.36,0,0,0,0
1965,3,-0.34,0,0,0,0
1965,4,-0.09,0,0,0,0
1965,5,0.19,0,0,0,0
1965,6,0.45,1,0,1,0
1965,7,0.81,1,0,1,0
1965,8,1.25,1,0,1,0
1965,9,1.26,1,0,1,0
1965,10,1.61,1,0,1,0
1965,11,1.54,1,0,1,0
1965,12,1.45,1,0,1,0
1966,1,1.13,1,0,1,0
1966,2,0.83,1,0,1,0
1966,3,0.83,1,0,1,0
1966,4,0.54,1,0,1,0
1966,5,-0.06,0,0,0,0
1966,6,0.14,0,0,0,0
1966,7,0.23,0,0,0,0
1966,8,-0.1,0,0,0,0
1966,9,-0.05,0,0,0,0
1966,10,-0.05,0,0,0,0
1966,11,-0.37,0,0,0,0
1966,12,-0.26,0,0,0,0
1967,1,-0.55,0,1,0,0
1967,2,-0.56,0,1,0,0
1967,3,-0.47,0,1,0,0
1967,4,-0.53,0,1,0,0
1967,5,-0.24,0,0,0,0
1967,6,-0.12,0,0,0,0
1967,7,-0.1,0,0,0,0
1967,8,-0.31,0,0,0,0
1967,9,-0.59,0,1,0,0
1967,10,-0.38,0,0,0,0
1967,11,-0.34,0,0,0,0
1967,12,-0.35,0,0,0,0
1968,1,-0.6,0,1,0,0
1968,2,-0.74,0,1,0,0
1968,3,-0.76,0,1,0,0
1968,4,-0.47,0,1,0,0
1968,5,-0.44,0,1,0,0
1968,6,0.19,0,0,0,0
1968,7,0.31,0,0,0,0
1968,8,0.33,0,0,0,0
1968,9,0.05,0,0,0,0
1968,10,0.32,0,0,0,0
1968,11,0.76,1,0,0,0
1968,12,0.76,1,0,0,0
1969,1,0.9,1,0,0,0
1969,2,1.02,1,0,0,0
1969,3,0.61,1,0,0,0
1969,4,0.33,0,0,0,0
1969,5,0.39,0,0,0,0
1969,6,0.26,0,0,0,0
1969,7,0.1,0,0,0,0
1969,8,0.52,1,0,1,0
1969,9,0.47,1,0,1,0
1969,10,0.66,1,0,1,0
1969,11,0.75,1,0,1,0
1969,12,0.68,1,0,1,0
1970,1,0.55,1,0,1,0
1970,2,0.36,0,0,0,0
1970,3,0.26,0,0,0,0
1970,4,0.18,0,0,0,0
1970,5,0.01,0,0,0,0
1970,6,-0.3,0,0,0,0
1970,7,-0.98,0,1,0,1
1970,8,-0.95,0,1,0,1
1970,9,-0.78,0,1,0,1
1970,10,-0.65,0,1,0,1
1970,11,-0.85,0,1,0,1
1970,12,-1.11,0,1,0,1
1971,1,-1.47,0,1,0,1
1971,2,-1.28,0,1,0,1
1971,3,-1.29,0,1,0,1
1971,4,-0.97,0,1,0,1
1971,5,-0.82,0,1,0,1
1971,6,-0.78,0,1,0,1
1971,7,-0.64,0,1,0,1
1971,8,-0.65,0,1,0,1
1971,9,-0.75,0,1,0,1
1971,10,-0.78,0,1,0,1
1971,11,-0.85,0,1,0,1
1971,12,-0.89,0,1,0,1
1972,1,-0.58,0,1,0,1
1972,2,-0.22,0,0,0,1
1972,3,-0.25,0,0,0,1
1972,4,0.21,0,0,0,1
1972,5,0.33,0,0,0,1
1972,6,0.66,1,0,1,1
1972,7,0.83,1,0,1,1
1972,8,1.3,1,0,1,1
1972,9,1.19,1,0,1,1
1972,10,1.77,1,0,1,1
1972,11,1.87,1,0,1,1
1972,12,2.19,1,0,1,1
1973,1,1.6,1,0,1,1
1973,2,1.08,1,0,1,1
1973,3,0.58,1,0,1,1
1973,4,-0.07,0,0,0,1
1973,5,-0.56,0,1,0,1
1973,6,-0.86,0,1,0,1
1973,7,-1.14,0,1,0,1
1973,8,-1.21,0,1,0,1
1973,9,-1.4,0,1,0,1
1973,10,-1.58,0,1,0,1
1973,11,-2.07,0,1,0,1
1973,12,-2.18,0,1,0,1
1974,1,-2.02,0,1,0,1
1974,2,-1.5,0,1,0,1
1974,3,-1.44,0,1,0,1
1974,4,-1,0,1,0,1
1974,5,-0.79,0,1,0,1
1974,6,-0.7,0,1,0,1
1974,7,-0.65,0,1,0,1
1974,8,-0.32,0,0,0,0
1974,9,-0.35,0,0,0,0
1974,10,-0.75,0,1,0,0
1974,11,-0.96,0,1,0,0
1974,12,-0.86,0,1,0,0
1975,1,-0.37,0,0,0,0
1975,2,-0.33,0,0,0,0
1975,3,-0.59,0,1,0,1
1975,4,-0.59,0,1,0,1
1975,5,-1,0,1,0,1
1975,6,-1.25,0,1,0,1
1975,7,-1.24,0,1,0,1
1975,8,-1.16,0,1,0,1
1975,9,-1.44,0,1,0,1
1975,10,-1.47,0,1,0,1
1975,11,-1.46,0,1,0,1
1975,12,-1.64,0,1,0,1
1976,1,-1.8,0,1,0,1
1976,2,-1.05,0,1,0,1
1976,3,-0.68,0,1,0,1
1976,4,-0.42,0,1,0,1
1976,5,-0.49,0,1,0,1
1976,6,0,0,0,0,0
1976,7,0.15,0,0,0,0
1976,8,0.31,0,0,0,0
1976,9,0.57,1,0,1,0
1976,10,0.86,1,0,1,0
1976,11,0.88,1,0,1,0
1976,12,0.64,1,0,1,0
1977,1,0.84,1,0,1,0
1977,2,0.55,1,0,1,0
1977,3,0.4,1,0,1,0
1977,4,-0.25,0,0,0,0
1977,5,-0.03,0,0,0,0
1977,6,0.36,0,0,0,0
1977,7,0.45,1,0,0,0
1977,8,0.25,0,0,0,0
1977,9,0.44,1,0,1,0
1977,10,0.89,1,0,1,0
1977,11,1.03,1,0,1,0
1977,12,1.09,1,0,1,0
1978,1,0.72,1,0,1,0
1978,2,0.51,1,0,1,0
1978,3,0.06,0,0,0,0
1978,4,-0.37,0,0,0,0
