County,Year,Population,Station,id
King,1960,935014,SEATTLE TACOMA AP,USW00024233
King,1961,952300,SEATTLE TACOMA AP,USW00024233
King,1962,971600,SEATTLE TACOMA AP,USW00024233
King,1963,984400,SEATTLE TACOMA AP,USW00024233
King,1964,1000200,SEATTLE TACOMA AP,USW00024233
King,1965,1024000,SEATTLE TACOMA AP,USW00024233
King,1966,1047500,SEATTLE TACOMA AP,USW00024233
King,1967,1098500,SEATTLE TACOMA AP,USW00024233
King,1968,1150000,SEATTLE TACOMA AP,USW00024233
King,1969,1161000,SEATTLE TACOMA AP,USW00024233
King,1970,1159375,SEATTLE TACOMA AP,USW00024233
King,1971,1158200,SEATTLE TACOMA AP,USW00024233
King,1972,1146000,SEATTLE TACOMA AP,USW00024233
King,1973,1143800,SEATTLE TACOMA AP,USW00024233
King,1974,1146200,SEATTLE TACOMA AP,USW00024233
King,1975,1148000,SEATTLE TACOMA AP,USW00024233
King,1976,1155700,SEATTLE TACOMA AP,USW00024233
King,1977,1164400,SEATTLE TACOMA AP,USW00024233
King,1978,1186900,SEATTLE TACOMA AP,USW00024233
King,1979,1231500,SEATTLE TACOMA AP,USW00024233
King,1980,1256800,SEATTLE TACOMA AP,USW00024233
King,1981,1309800,SEATTLE TACOMA AP,USW00024233
King,1982,1311400,SEATTLE TACOMA AP,USW00024233
King,1983,1315800,SEATTLE TACOMA AP,USW00024233
King,1984,1326600,SEATTLE TACOMA AP,USW00024233
King,1985,1346400,SEATTLE TACOMA AP,USW00024233
King,1986,1361700,SEATTLE TACOMA AP,USW00024233
King,1987,1384600,SEATTLE TACOMA AP,USW00024233
King,1988,1413900,SEATTLE TACOMA AP,USW00024233
King,1989,1446000,SEATTLE TACOMA AP,USW00024233
King,1990,1482800,SEATTLE TACOMA AP,USW00024233
King,1991,1542286,SEATTLE TACOMA AP,USW00024233
King,1992,1564486,SEATTLE TACOMA AP,USW00024233
King,1993,1587700,SEATTLE TACOMA AP,USW00024233
King,1994,1599500,SEATTLE TACOMA AP,USW00024233
King,1995,1613600,SEATTLE TACOMA AP,USW00024233
King,1996,1628800,SEATTLE TACOMA AP,USW00024233
King,1997,1646200,SEATTLE TACOMA AP,USW00024233
King,1998,1665800,SEATTLE TACOMA AP,USW00024233
King,1999,1677000,SEATTLE TACOMA AP,USW00024233
King,2000,1685600,SEATTLE TACOMA AP,USW00024233
King,2001,1758312,SEATTLE TACOMA AP,USW00024233
King,2002,1774312,SEATTLE TACOMA AP,USW00024233
King,2003,1779300,SEATTLE TACOMA AP,USW00024233
King,2004,1788300,SEATTLE TACOMA AP,USW00024233
King,2005,1808300,SEATTLE TACOMA AP,USW00024233
King,2006,1835300,SEATTLE TACOMA AP,USW00024233
King,2007,1861300,SEATTLE TACOMA AP,USW00024233
King,2008,1884200,SEATTLE TACOMA AP,USW00024233
King,2009,1909300,SEATTLE TACOMA AP,USW00024233
King,2010,1933400,SEATTLE TACOMA AP,USW00024233
King,2011,1942600,SEATTLE TACOMA AP,USW00024233
King,2012,1957000,SEATTLE TACOMA AP,USW00024233
King,2013,1981900,SEATTLE TACOMA AP,USW00024233
King,2014,2017250,SEATTLE TACOMA AP,USW00024233
King,2015,2052800,SEATTLE TACOMA AP,USW00024233
King,2016,2105100,SEATTLE TACOMA AP,USW00024233
King,2017,2153700,SEATTLE TACOMA AP,USW00024233
King,2018,2190200,SEATTLE TACOMA AP,USW00024233
King,2019,2226300,SEATTLE TACOMA AP,USW00024233
King,2020,2260800,SEATTLE TACOMA AP,USW00024233
King,2021,2287050,SEATTLE TACOMA AP,USW00024233
King,2022,2317700,SEATTLE TACOMA AP,USW00024233
King,2023,2347800,SEATTLE TACOMA AP,USW00024233
King,2024,2378100,SEATTLE TACOMA AP,USW00024233
Pierce,1960,321590,TACOMA MCCHORD AFB,USW00024207
Pierce,1961,329100,TACOMA MCCHORD AFB,USW00024207
Pierce,1962,337300,TACOMA MCCHORD AFB,USW00024207
Pierce,1963,342700,TACOMA MCCHORD AFB,USW00024207
Pierce,1964,349200,TACOMA MCCHORD AFB,USW00024207
Pierce,1965,358600,TACOMA MCCHORD AFB,USW00024207
Pierce,1966,368400,TACOMA MCCHORD AFB,USW00024207
Pierce,1967,383300,TACOMA MCCHORD AFB,USW00024207
Pierce,1968,398100,TACOMA MCCHORD AFB,USW00024207
Pierce,1969,412000,TACOMA MCCHORD AFB,USW00024207
Pierce,1970,412344,TACOMA MCCHORD AFB,USW00024207
Pierce,1971,410800,TACOMA MCCHORD AFB,USW00024207
Pierce,1972,404800,TACOMA MCCHORD AFB,USW00024207
Pierce,1973,404300,TACOMA MCCHORD AFB,USW00024207
Pierce,1974,411000,TACOMA MCCHORD AFB,USW00024207
Pierce,1975,413500,TACOMA MCCHORD AFB,USW00024207
Pierce,1976,420700,TACOMA MCCHORD AFB,USW00024207
Pierce,1977,422400,TACOMA MCCHORD AFB,USW00024207
Pierce,1978,442600,TACOMA MCCHORD AFB,USW00024207
Pierce,1979,453900,TACOMA MCCHORD AFB,USW00024207
Pierce,1980,466400,TACOMA MCCHORD AFB,USW00024207
Pierce,1981,501300,TACOMA MCCHORD AFB,USW00024207
Pierce,1982,504500,TACOMA MCCHORD AFB,USW00024207
Pierce,1983,507000,TACOMA MCCHORD AFB,USW00024207
Pierce,1984,514600,TACOMA MCCHORD AFB,USW00024207
Pierce,1985,524900,TACOMA MCCHORD AFB,USW00024207
Pierce,1986,530800,TACOMA MCCHORD AFB,USW00024207
Pierce,1987,538000,TACOMA MCCHORD AFB,USW00024207
Pierce,1988,547700,TACOMA MCCHORD AFB,USW00024207
Pierce,1989,560900,TACOMA MCCHORD AFB,USW00024207
Pierce,1990,574500,TACOMA MCCHORD AFB,USW00024207
Pierce,1991,603800,TACOMA MCCHORD AFB,USW00024207
